"","'Page number","'Layout","'Text","'Reading Order","'Confidence score % (Layout)","file"
"1","'1","'Header 1","'This article was downloaded by: [""Queen's University Libraries, Kingston""] On: 28 December 2014, At: 06:50 Publisher: Routledge Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK","'0","'78.07617188","04597227108459804/layout.csv"
"2","'1","'Figure 1",NA,"'1","'73.33984375","04597227108459804/layout.csv"
"3","'1","'Title 1","'The Military Balance","'2","'38.11035156","04597227108459804/layout.csv"
"4","'1","'Text 1","'Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/tmib20","'3","'63.33007813","04597227108459804/layout.csv"
"5","'1","'Section header 1","'Notes","'4","'44.65332031","04597227108459804/layout.csv"
"6","'1","'Text 2","'Published online: 22 Jan 2009.","'5","'69.67773438","04597227108459804/layout.csv"
"7","'1","'Text 3","'To cite this article: (1971) Notes, The Military Balance, 71:1, 1-1, DOI: 10.1080/04597227108459804 To link to this article: http://dx.doi.org/10.1080/04597227108459804","'6","'95.70312500","04597227108459804/layout.csv"
"8","'1","'Section header 2","'PLEASE SCROLL DOWN FOR ARTICLE","'7","'78.80859375","04597227108459804/layout.csv"
"9","'1","'Text 4","'Taylor & Francis makes every effort to ensure the accuracy of all the information (the ""Content"") contained in the publications on our platform. However, Taylor & Francis, our agents, and our licensors make no representations or warranties whatsoever as to the accuracy, completeness, or suitability for any purpose of the Content. Any opinions and views expressed in this publication are the opinions and views of the authors, and are not the views of or endorsed by Taylor & Francis. The accuracy of the Content should not be relied upon and should be independently verified with primary sources of information. Taylor and Francis shall not be liable for any losses, actions, claims, proceedings, demands, costs, expenses, damages, and other liabilities whatsoever or howsoever caused arising directly or indirectly in connection with, in relation to or arising out of the use of the Content.","'8","'97.31445313","04597227108459804/layout.csv"
"10","'1","'Text 5","'This article may be used for research, teaching, and private study purposes. Any substantial or systematic reproduction, redistribution, reselling, loan, sub-licensing, systematic supply, or distribution in any form to anyone is expressly forbidden. Terms & Conditions of access and use can be found at http:// www.tandfonline.com/page/terms-and-conditions","'9","'94.97070313","04597227108459804/layout.csv"
"11","'2","'Title 2","'NOTES","'10","'64.89257813","04597227108459804/layout.csv"
"12","'2","'Section header 3","'Currency Conversion Rates","'11","'65.91796875","04597227108459804/layout.csv"
"13","'2","'Text 6","'National Currency Figures have been converted into dollars at the prevailing rate, generally as reported to the International Monetary Fund (IMF). Defence expenditure, in the case of some East European countries which are not members of the IMF, has, however, been converted at the rates described by Professor Benoit and Dr Lubell in Disarmament and World Economic Inter- dependence (New York: Columbia University Press, 1967). For the Soviet Union, it has been con- verted as explained in The Military Balance 1970-1971, pp. 10-12. In all cases the conversion rates used are included in the country entry or made clear in the appropriate table but may not always be applicable to commercial transactions. Because estimates for Gross National Product (GNP) and defence expenditure of certain countries have been amended, figures will not in all cases be entirely comparable with those of previous years. GNP figures given are usually at market prices.","'12","'99.02343750","04597227108459804/layout.csv"
"14","'2","'Section header 4","'Strength of Military Formations","'13","'67.57812500","04597227108459804/layout.csv"
"15","'2","'Text 7","'The table below gives the average establishment strength of the major military formations used in the text. The figures should be treated as approximate, since military organization is flexible and formations may be reinforced or reduced.","'14","'95.36132813","04597227108459804/layout.csv"
"16","'2","'Table 1",NA,"'15","'96.53320313","04597227108459804/layout.csv"
"17","'2","'Section header 5","'NOTES","'16","'47.36328125","04597227108459804/layout.csv"
"18","'2","'Text 8","'Divisional strengths cover organic units only and exclude support units or services outside the divisional structure.","'17","'95.41015625","04597227108459804/layout.csv"
"19","'2","'Text 9","'Warsaw Pact formations and squadrons have strengths similar to those of the Soviet Union. NATO formations and squadrons not included in the table have similar totals to those of Germany unless otherwise mentioned in the text. Iran, Pakistan, the Philippines, Thailand, Japan, South Korea and Taiwan have tended to follow American military organization, while Australia, New Zealand, Malaysia and Singapore generally follow British practice.","'18","'96.82617188","04597227108459804/layout.csv"
"20","'2","'List 1",NA,"'19","'43.57910156","04597227108459804/layout.csv"
"21","'2","'Text 10 - Part of List 1","'a Army divisions only; a Marine Corps division has over 19,000 men.","'20","'82.56835938","04597227108459804/layout.csv"
"22","'2","'Text 11 - Part of List 1","'b Strength of a regiment, which is the equivalent form- ation in the Soviet and Chinese command structure.","'21","'94.82421875","04597227108459804/layout.csv"
"23","'2","'Section header 6","'Combat aircraft","'22","'85.59570313","04597227108459804/layout.csv"
"24","'2","'Text 12","'The term 'combat aircraft', as used in the text, com- prises bomber, fighter-bomber, strike, interceptor, reconnaissance, counter-insurgency and armed trainer aircraft, but not other categories. The figures given for aircraft in the text refer to front line strengths only, unless otherwise stated.","'23","'97.07031250","04597227108459804/layout.csv"
"25","'2","'Section header 7","'Naval units","'24","'71.04492188","04597227108459804/layout.csv"
"26","'2","'Text 13","'The naval vessels shown in the country sections are those in operational fleet service and vessels of less than 100 tons standard displacement have usually been excluded. Ships in reserve or undergoing re-fit or con- version are included only where specifically mentioned.","'25","'96.43554688","04597227108459804/layout.csv"
"27","'1","'Header 1","'This article was downloaded by: [UQ Library] On: 14 March 2015, At: 07:26 Publisher: Routledge Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK","'0","'82.27539063","04597227108459805/layout.csv"
"28","'1","'Figure 1",NA,"'1","'75.48828125","04597227108459805/layout.csv"
"29","'1","'Title 1","'The Military Balance","'2","'34.96093750","04597227108459805/layout.csv"
"30","'1","'Text 1","'Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/tmib20","'3","'44.06738281","04597227108459805/layout.csv"
"31","'1","'Title 2","'Preface","'4","'37.20703125","04597227108459805/layout.csv"
"32","'1","'Text 2","'Published online: 22 Jan 2009.","'5","'41.11328125","04597227108459805/layout.csv"
"33","'1","'Text 3","'To cite this article: (1971) Preface, The Military Balance, 71:1, 2-2, DOI: 10.1080/04597227108459805 To link to this article: http://dx.doi.org/10.1080/04597227108459805","'6","'95.60546875","04597227108459805/layout.csv"
"34","'1","'Section header 1","'PLEASE SCROLL DOWN FOR ARTICLE","'7","'84.71679688","04597227108459805/layout.csv"
"35","'1","'Text 4","'Taylor & Francis makes every effort to ensure the accuracy of all the information (the ""Content"") contained in the publications on our platform. However, Taylor & Francis, our agents, and our licensors make no representations or warranties whatsoever as to the accuracy, completeness, or suitability for any purpose of the Content. Any opinions and views expressed in this publication are the opinions and views of the authors, and are not the views of or endorsed by Taylor & Francis. The accuracy of the Content should not be relied upon and should be independently verified with primary sources of information. Taylor and Francis shall not be liable for any losses, actions, claims, proceedings, demands, costs, expenses, damages, and other liabilities whatsoever or howsoever caused arising directly or indirectly in connection with, in relation to or arising out of the use of the Content.","'8","'97.41210938","04597227108459805/layout.csv"
"36","'1","'Text 5","'This article may be used for research, teaching, and private study purposes. Any substantial or systematic reproduction, redistribution, reselling, loan, sub-licensing, systematic supply, or distribution in any form to anyone is expressly forbidden. Terms & Conditions of access and use can be found at http:// www.tandfonline.com/page/terms-and-conditions","'9","'94.28710938","04597227108459805/layout.csv"
"37","'2","'Title 3","'PREFACE","'10","'62.69531250","04597227108459805/layout.csv"
"38","'2","'Text 6","'The Military Balance introduces this year much new, material. There are tables which give comparative figures for the last 20 years for the armed forces, defence expenditure and Gross National Product of major countries. The characteristics of the world's tanks are set out. Included as part of the European balance is a comparison of the new ship deliveries to the NATO and Warsaw Pact navies between 1961-70. There is a special section showing forces outside their parent country and the countries in which they are stationed. Other new features are tables of short-range nuclear delivery vehicles and of arms produc- tion in countries with significant and growing, but not all-embracing, defence industries.","'11","'97.75390625","04597227108459805/layout.csv"
"39","'2","'Text 7","'Certain items have been omitted, to save space or because last year's entries remain essentially up to date. The Latin American countries are a case in point: they have been excluded this time but it is the intention to return to them next year. An index is included (see p. 83) to give guidance to features appearing in one or more, but not all, of the last four issues (including this one).","'12","'90.91796875","04597227108459805/layout.csv"
"40","'2","'Text 8","'The Institute assumes full responsibility for the facts and judgments which the document contains. The co-operation of governments has been sought and in many cases received. Not all countries have been equally co-operative in producing information and some figures have been estimated. The Institute owes a considerable debt to a number of its own members and consultants who have assisted in compiling and checking material.","'13","'90.47851563","04597227108459805/layout.csv"
"41","'2","'Text 9","'Manpower figures given are those of regular forces, although an indication of the size of para-military forces, militia or reserve forces has been given in the sections dealing with individual countries. Figures for defence expenditures are the latest available and are generally exclusive of military aid. A glossary of the abbreviations that have been used in the text will be found overleaf. On the facing page are notes explaining the bases for the conversion of national currency figures into dollars and giving the strengths of some military formations.","'14","'93.16406250","04597227108459805/layout.csv"
"42","'2","'Text 10","'This study examines the facts of military power as they existed in July 1971. No projections of force levels or weapons beyond 1971 have been included, except where explicitly stated. The material should not be regarded as a comprehensive guide to the balance of strategic power; in particular it does not reflect the facts of geography, vulnerability or efficiency, except where these are touched upon in the appendix on the NATO-Warsaw Pact balance.","'15","'92.77343750","04597227108459805/layout.csv"
"43","'2","'Text 11","'The Military Balance is complemented by another annual publication, Strategic Survey, published each spring, which reviews the most significant issues of international security and conflict in the previous calendar year and describes the major developments in strategic and defence policy and in weapons throughout the world.","'16","'92.72460938","04597227108459805/layout.csv"
"44","'2","'Footer 1","'September 1971","'17","'60.93750000","04597227108459805/layout.csv"
"45","'1","'Title 1","'ABBREVIATIONS","'0","'67.91992188","04597227108459806/layout.csv"
"46","'1","'Table 1",NA,"'1","'96.33789063","04597227108459806/layout.csv"
"47","'1","'Figure 1",NA,"'0","'40.45410156","04597227108459807/layout.csv"
"48","'1","'Figure 2",NA,"'1","'89.45312500","04597227108459807/layout.csv"
"49","'1","'Header 1","'Routledge Taylor & Francis Group","'2","'77.05078125","04597227108459807/layout.csv"
"50","'1","'Header 2","'The Military Balance","'3","'51.36718750","04597227108459807/layout.csv"
"51","'1","'Header 3","'ISSN: 0459-7222 (Print) 1479-9022 (Online) Journal homepage: http://www.tandfonline.com/loi/tmib20","'4","'52.53906250","04597227108459807/layout.csv"
"52","'1","'Title 1","'The United States and the Soviet Union","'5","'49.21875000","04597227108459807/layout.csv"
"53","'1","'Text 1","'To cite this article: (1971) The United States and the Soviet Union, The Military Balance, 71:1, 1-7, DOI: 10.1080/04597227108459807","'6","'92.48046875","04597227108459807/layout.csv"
"54","'1","'Text 2","'To link to this article: http://dx.doi.org/10.1080/04597227108459807","'7","'83.64257813","04597227108459807/layout.csv"
"55","'1","'Figure 3",NA,"'8","'95.26367188","04597227108459807/layout.csv"
"56","'1","'Text 3","'Published online: 22 Jan 2009.","'9","'97.11914063","04597227108459807/layout.csv"
"57","'1","'Figure 4",NA,"'10","'94.04296875","04597227108459807/layout.csv"
"58","'1","'Text 4","'Submit your article to this journal","'11","'97.94921875","04597227108459807/layout.csv"
"59","'1","'Figure 5",NA,"'12","'95.36132813","04597227108459807/layout.csv"
"60","'1","'Text 5","'Article views: 49","'13","'97.90039063","04597227108459807/layout.csv"
"61","'1","'Figure 6",NA,"'14","'92.08984375","04597227108459807/layout.csv"
"62","'1","'Text 6","'View related articles","'15","'96.48437500","04597227108459807/layout.csv"
"63","'1","'Text 7","'Full Terms & Conditions of access and use can be found at http://www.tandfonline.com/action/journallnformation?journalCode=tmib20","'16","'41.57714844","04597227108459807/layout.csv"
"64","'1","'Footer 1","'Download by: [University of California Santa Barbara]","'17","'76.12304688","04597227108459807/layout.csv"
"65","'1","'Footer 2","'Date: 20 June 2016, At: 03:02","'18","'69.53125000","04597227108459807/layout.csv"
"66","'2","'Text 8","'COUNTRIES AND PRINCIPAL PACTS","'19","'52.44140625","04597227108459807/layout.csv"
"67","'3","'Table 1",NA,"'20","'42.26074219","04597227108459807/layout.csv"
"68","'4","'Title 2","'The United States and the Soviet Union","'21","'81.68945313","04597227108459807/layout.csv"
"69","'4","'Text 9","'Whatever their other commitments or capabilities, the primary mission of American armed forces remains the deterrence of a strategic attack, necessarily with nuclear weapons, upon the United States. The principal object of that deterrence is the only other 'super-power', the Soviet Union, with China as a subsidiary object of potentially increasing importance. Conversely, although less explicitly, Soviet strategic nuclear forces appear to be designed primarily to deter an American strategic attack upon the Soviet Union. The strategic forces and weapons of both super-powers have capabilities which, at least in theory, go beyond reciprocal deterrence, to the point of offering some prospect of limiting the damage which either would suffer should a strategic nuclear war occur. They also provide means of deterring lesser nuclear powers. In terms of intentions, however, it seems that deterrence of each other represents the first priority for both countries.","'22","'97.99804688","04597227108459807/layout.csv"
"70","'4","'Text 10","'Soviet and American representatives have been engaged since November 1969 in an effort to agree upon the mutual limitation of strategic nuclear forces. These Strategic Arms Limitation Talks (SALT) have not yet produced any formal agreement, although the governments issued a statement on 20 May 1971 in which they spoke of working out an agreement during the remaining months of the year which would limit the deployment of anti-ballistic missile (ABM) systems and which would also include 'certain measures' of limitation on offensive weapons. Meanwhile, the expansion or modernization of strategic nuclear forces has continued on both sides. The Soviet Union, having matched the American total of offensive strategic missiles, has continued to deploy addi- tional inter-continental, ballistic missiles (ICBMs) on land, to construct additional ballistic-missile submarines and to develop more effective weapons for its offensive forces. At the same time, the United States has embarked upon an extensive modernization of its strategic offensive weapons which, over the next four years, will add considerably to the number and effectiveness of the nuclear warheads which its own land-based and sea-based forces can deliver. Both countries have also pursued attempts to deploy an effective ABM system: the Soviet Union by improving the small system which it already has, the United States by starting deployment of the Safeguard system which was announced in 1969.","'23","'97.80273438","04597227108459807/layout.csv"
"71","'4","'Text 11","'With an estimated total of 1,510 ICBM (about 100 of which are positioned in MR/IRBM fields, and may, therefore, be intended for possible use against targets other than the United States), the Soviet Union has now surpassed the United States ICBM force of 1,054. Soviet deployment has, however, slowed down considerably since the beginning of 1970 and may have reached, or be approaching, its planned level. A number of underground silos of a new type have been observed, but it is not clear whether these are intended to fire a new ICBM (of which no other evidence has been reported) or to provide added protection for missiles of existing types, and especially for the large SS-9 missile. If, as seems possible, the latter is the case, this improvement of the silo for the SS-9 system will match the testing of an SS-9 multiple warhead cluster, containing three re-entry vehicles, in which the Soviet Union has been actively engaged since 1968.","'24","'96.38671875","04597227108459807/layout.csv"
"72","'4","'Text 12","'The United States has made no effort to increase its total of ICBM launchers. It has, however, continued the replacement of Minuteman 1 missiles with Minuteman 3 missiles which began in 1970. Over 500 Minuteman 3 launchers, each of which carries three independently-targeted war- heads, are to be deployed, under present plans, by 1975. This will have the effect of doubling the number of targets at which the total Minuteman force can strike.","'25","'94.04296875","04597227108459807/layout.csv"
"73","'4","'Text 13","'Although the Soviet Union has continued to launch Y-class ballistic-missile submarines now at a rate of some 7-8 a year, it has not yet overtaken the United States in this field. It now has about 350 SLBMs in nuclear-powered submarines (of which some 320 are in modern Y-class boats), in contrast with the 656 launchers in the parallel American force. In terms of launcher totals, the Soviet Union's construction programme continues to bring it closer to the United States at a rate which could produce numerical equality by 1974. Moreover, the Soviet Union has been testing","'26","'96.04492188","04597227108459807/layout.csv"
"74","'5","'Page number 1","'2","'27","'82.32421875","04597227108459807/layout.csv"
